movie_date,title,lifetime_gross_sales
2014-04-11,Joe (2014),298800
2013-03-22,The Croods(Voice),187168425
2012-09-14,Stolen (2012),304318
2012-03-16,Seeking Justice,411746
2012-02-17,Ghost Rider: Spirit of Vengeance,51774002
2011-10-14,Trespass (2011),24094
2011-02-25,Drive Angry,10721033
2011-01-07,Season of the Witch,24827228
2010-07-14,The Sorcerer's Apprentice,63150991
2010-04-16,Kick-Ass,48071303
2009-11-20,Bad Lieutenant: Port of Call New Orleans,1702112
2009-10-23,Astro Boy(Voice),19551067
2009-07-24,G-Force(Voice),119436770
2009-03-20,Knowing,79957634
2008-09-05,Bangkok Dangerous,15298133
2007-12-21,National Treasure: Book of Secrets,219964115
2007-04-27,Next,18211013
2007-04-06,Grindhouse(Cameo),25037897
2007-02-16,Ghost Rider,115802596
2006-09-01,The Wicker Man,23649127
2006-08-09,World Trade Center,70278893
2006-07-28,The Ant Bully(Voice),28142535
2005-10-28,The Weather Man,12482775
2005-09-16,Lord of War,24149632
2004-11-19,National Treasure,173008894
2003-09-12,Matchstick Men,36906460
2002-12-27,Sonny,30005
2002-12-06,Adaptation.,22498520
2002-06-14,Windtalkers,40914068
2001-08-17,Captain Corelli's Mandolin,25543895
2000-12-22,The Family Man,75793305
2000-06-09,Gone in 60 Seconds,101648571
1999-10-22,Bringing Out the Dead,16797191
1999-02-26,8MM,36663315
1998-08-07,Snake Eyes,55591409
1998-04-10,City of Angels,78685114
1997-06-27,Face/Off,112276146
1997-06-06,Con Air,101117573
1996-06-07,The Rock,134069511
1995-10-27,Leaving Las Vegas,32029928
1995-04-21,Kiss of Death,14942422
1994-12-02,Trapped in Paradise,6017509
1994-07-29,It Could Happen to You,37939757
1994-03-11,Guarding Tess,27058304
1994-01-28,Red Rock West,2502551
1993-10-08,Deadfall,18369
1993-03-05,Amos & Andrew,9745803
1992-08-28,Honeymoon in Vegas,35208854
1990-08-17,Wild at Heart,14560247
1990-05-25,Fire Birds,14760451
1989-06-02,Vampire's Kiss,725131
1987-12-18,Moonstruck,80640528
1987-03-13,Raising Arizona,22847564
1986-10-10,Peggy Sue Got Married,41382841
1986-01-17,The Boy in Blue,275000
1984-12-21,Birdy,1455045
1984-12-14,The Cotton Club,25928721
1984-03-23,Racing with the Moon,6045647
1983-10-08,Rumble Fish,2494480
1983-04-29,Valley Girl,17343596
1982-08-13,Fast Times at Ridgemont High,27092880
