movie_date,title,lifetime_gross_sales
2013-08-16,Kick-Ass 2,28795985
2013-03-15,The Incredible Burt Wonderstone,22537881
2011-06-17,Mr. Popper's Penguins,68224452
2010-12-03,"I Love You, Phillip Morris",2037459
2009-11-06,A Christmas Carol (2009),137855863
2009-02-13,Under the Sea 3D(Narrator),32482398
2008-12-19,Yes Man,97690976
2008-03-14,Dr. Seuss' Horton Hears a Who!(Voice),154529439
2007-02-23,The Number 23,35193167
2005-12-21,Fun with Dick and Jane,110332737
2004-12-17,Lemony Snicket's A Series of Unfortunate ,118634549
2004-03-19,Eternal Sunshine of the Spotless Mind,34400301
2003-05-23,Bruce Almighty,242829261
2001-12-21,The Majestic,27807266
2000-11-17,How the Grinch Stole Christmas,260044825
2000-06-23,"Me, Myself and Irene",90570999
1999-12-22,Man on the Moon,34607430
1998-09-11,Simon Birch,18253415
1998-06-05,The Truman Show,125618201
1997-03-21,Liar Liar,181410615
1996-06-14,The Cable Guy,60240295
1995-11-10,Ace Ventura: When Nature Calls,108385533
1995-06-16,Batman Forever,184031112
1994-12-16,Dumb and Dumber,127175374
1994-07-29,The Mask,119938730
1994-02-04,Ace Ventura: Pet Detective,72217396
1989-05-12,Earth Girls Are Easy,3916303
1988-07-15,The Dead Pool,37903295
1986-10-10,Peggy Sue Got Married,41382841
1985-11-15,Once Bitten,10000000
1984-05-18,Finders Keepers,1467396
2014-11-14,Uni.,0
