movie_date,title,lifetime_gross_sales
2013-04-19,Oblivion,89107235
2012-12-21,Jack Reacher,80070736
2012-06-15,Rock of Ages,38518613
2011-12-16,Mission: Impossible - Ghost Protocol,209397903
2010-06-23,Knight & Day,76423035
2008-12-25,Valkyrie,83077833
2008-08-13,Tropic Thunder,110515313
2007-11-09,Lions for Lambs,15002854
2006-05-05,Mission: Impossible III,134029801
2005-06-29,War of the Worlds,234280354
2004-08-06,Collateral,101005703
2003-12-05,The Last Samurai,111127263
2002-07-26,Austin Powers in Goldmember(Cameo),213307889
2002-06-21,Minority Report,132072926
2002-04-19,Space Station 3-D (IMAX)(Narrator),90491061
2001-12-14,Vanilla Sky,100618344
2000-05-24,Mission: Impossible II,215409889
1999-12-17,Magnolia,22455976
1999-07-16,Eyes Wide Shut,55691208
1996-12-13,Jerry Maguire,153952592
1996-05-22,Mission: Impossible,180981856
1994-11-11,Interview with the Vampire,105264608
1993-07-02,The Firm,158348367
1992-12-11,A Few Good Men,141340178
1992-05-22,Far and Away,58883840
1990-06-29,Days of Thunder,82670733
1989-12-22,Born on the Fourth of July,70001698
1988-12-16,Rain Man,172825435
1988-07-29,Cocktail,78222753
1986-10-17,The Color of Money,52293982
1986-05-16,Top Gun,179800601
1986-04-18,Legend,15502112
1983-10-21,All the Right Moves,17233166
1983-08-05,Risky Business,63541777
1983-04-08,Losin' It,1246141
1983-03-25,The Outsiders,25697647
1981-12-09,Taps,35856053
1981-07-17,Endless Love,31184024
2015-12-25,Par.,0
2014-06-06,WB,0
