movie_date,title,lifetime_gross_sales
2013-07-12,Killing Season,39881
2012-07-06,Savages (2012),47382068
2010-02-05,From Paris with Love,24077427
2009-11-25,Old Dogs,49492060
2009-06-12,The Taking of Pelham 1 2 3,65452312
2008-11-21,Bolt(Voice),114053579
2007-07-20,Hairspray (2007),118871849
2007-04-13,Lonely Hearts,188565
2007-03-02,Wild Hogs,168273550
2005-03-04,Be Cool,56046979
2004-12-29,A Love Song for Bobby Long,164308
2004-10-01,Ladder 49,74541707
2004-04-16,The Punisher,33810189
2003-03-28,Basic,26793311
2001-11-02,Domestic Disturbance,45246095
2001-06-08,Swordfish,69772969
2000-10-27,Lucky Numbers,10042516
2000-05-12,Battlefield Earth,21471685
1999-06-18,The General's Daughter,102705852
1998-12-25,A Civil Action,56709981
1998-12-25,The Thin Red Line,36400491
1998-03-20,Primary Colors,39001187
1997-11-07,Mad City,10541523
1997-08-27,She's So Lovely,7281450
1997-06-27,Face/Off,112276146
1996-12-25,Michael,95318203
1996-07-05,Phenomenon,104636382
1996-02-09,Broken Arrow (1996),70770147
1995-12-01,White Man's Burden,3734870
1995-10-20,Get Shorty,72101622
1994-10-14,Pulp Fiction,107928762
1993-11-05,Look Who's Talking Now,10340263
1991-10-04,Shout,3547684
1990-12-14,Look Who's Talking Too,47789074
1989-10-13,Look Who's Talking,140088813
1989-01-13,The Experts,169203
1985-06-07,Perfect,12918858
1985-01-18,That's Dancing!,4210938
1983-12-16,Two of a Kind,23646952
1983-07-15,Staying Alive,64892670
1981-07-24,Blow Out,12000000
1980-06-06,Urban Cowboy,46918287
1978-12-22,Moment by Moment,10963824
1978-06-16,Grease,188755690
1977-12-16,Saturday Night Fever,94213184
1976-11-03,Carrie,33800000
